question,answer,context
Which of Neill Gorton's work was directed by Steven Spielberg?,Saving Private Ryan,"Neill Gorton
Neill Gorton (born 6 September 1969) is an English special effects artist, visual effects specialist and make-up artist specialized in animatronics and prosthetics.  He is known for his work on films like ""Saving Private Ryan"" (1998) and ""Children of Men"" (2006) and the series ""Doctor Who"" (2005).

Saving Private Ryan
Saving Private Ryan is a 1998 American epic war drama film set during the Invasion of Normandy in World War II.  Directed by Steven Spielberg and written by Robert Rodat, the film is notable for its graphic portrayal of war, and for the intensity of its opening 27 minutes, which includes a depiction of the Omaha Beach assault during the Normandy landings.  It follows United States Army Rangers Captain John H. Miller (Tom Hanks) and a squad (Tom Sizemore, Edward Burns, Barry Pepper, Giovanni Ribisi, Vin Diesel, Adam Goldberg, and Jeremy Davies) as they search for a paratrooper, Private First Class James Francis Ryan (Matt Damon), who is the last-surviving brother of four servicemen.

"
"Which Austrian composer born February 9, 1885 was inspired by Martin Greif?",Alban Berg,"Martin Greif (poet)
Martin Greif, born Friedrich Hermann Frey (18 June 1839 – 1 April 1911) was a German freelance writer of poems and of dramas which were performed at the Burgtheater in Vienna and the Bavarian Court Theatre in Munich.  His songs inspired compositions by Max Reger and Alban Berg, among others.

Alban Berg
Alban Maria Johannes Berg ( ; ] ; February 9, 1885 – December 24, 1935) was an Austrian composer of the Second Viennese School.  His compositional style combined Romantic lyricism with twelve-tone technique.

"
Abuzar Aydamirov wrote lyrics in 1992 to what Russian national anthwm?,Chechen Republic of Ichkeria.,"Abuzar Aydamirov
Abuzar Abdulhakimovich Aydamirov, Russian: Абузар Абдулхакимович Айдамиров (29 October 1929 – 27 May 2005) was a Chechen novelist and poet, author of a historical trilogy dedicated to Caucasian Wars (Long Nights; A Lightning in Mountains; A Tempest) and of the Anthem of the Chechen Republic of Ichkeria.

Anthem of the Chechen Republic of Ichkeria
“Death or Freedom” (Chechen: Joƶalla ya marşo/Ӏожалла я маршо , عوٓجاللا يا مارشوٓ, ""ჺოჟალლა ჲა მარშო"", ] ; Russian: Смерть или Свобода , ""Smertj ili Svoboda"") was the national anthem of the separatist Chechen Republic of Ichkeria.  It was written in 1992 by either Ali Dimaev or Umar Beksultanov, with the lyrics contributed by Abuzar Aydamirov.

"
The 1999 film is an adaptation of a Shakespeare tragedy throught to be written between what years?,1588 and 1593,"Titus (film)
Titus is a 1999 Italian-American-British film adaptation of William Shakespeare's revenge tragedy ""Titus Andronicus"", about the downfall of a Roman general.  Starring Anthony Hopkins and Jessica Lange, it was the first theatrically-released feature film adaptation of the play.  The film was made by Overseas Filmgroup and Clear Blue Sky Productions and released by Fox Searchlight Pictures.  It was the film directorial debut of Julie Taymor, who co-produced and wrote the screenplay.  It was produced by Jody Patton, Conchita Airoldi and executive produced by Paul G. Allen.

Titus Andronicus
Titus Andronicus is a tragedy by William Shakespeare, believed to have been written between 1588 and 1593, probably in collaboration with George Peele.  It is thought to be Shakespeare's first tragedy, and is often seen as his attempt to emulate the violent and bloody revenge plays of his contemporaries, which were extremely popular with audiences throughout the 16th century.

"
Michel Wachenheim a French ambassador and permanent representative of France of what specialized agency of the United Nations?,The International Civil Aviation Organization,"Michel Wachenheim
Michel Wachenheim (born 16 January 1951 at Saint-Maur-des-Fossés) is a French ambassador and permanent representative of France at the International Civil Aviation Organization (ICAO).

International Civil Aviation Organization
The International Civil Aviation Organization (ICAO) (pronounced ; French: ""Organisation de l'aviation civile internationale"" , OACI), is a specialized agency of the United Nations.  It codifies the principles and techniques of international air navigation and fosters the planning and development of international air transport to ensure safe and orderly growth.  Its headquarters are located in the ""Quartier International"" of Montreal, Quebec, Canada.

"
"Second Skin and Out of Place, are films of which genre?",documentary,"Second Skin (2008 film)
Second Skin is a 2008 American documentary film that follows the lives of seven people as they delve into the world of MMORPGs (Massively Multiplayer Online Role Playing Games).  The film was directed by Juan Carlos Piñeiro Escoriaza and produced by Victor Piñeiro Escoriaza and Peter Brauer.

Out of Place
Out of Place is a surfing documentary directed by Scott Ditzenberger and Darrin McDonald that follows the lives of several lake surfers in Cleveland, Ohio.  While Lake Erie does not offer the quality of waves they would prefer, business commitments, family, and friends keep them from moving.  As the best waves occur in the winter, the surfers often experience freezing conditions including during a snow bound Great Lakes Eastern Surfing Association competition featured in the film.

"
"Which four act opera based on ""El trovador"" was written by the same composer as ""Les vepres siciliennes?""",Il trovatore,"Les vêpres siciliennes
Les vêpres siciliennes (""The Sicilian Vespers"") is a grand opéra in five acts by the Italian romantic composer Giuseppe Verdi set to a French libretto by Eugène Scribe and Charles Duveyrier from their work ""Le duc d'Albe"", which was written in 1838.  ""Les vêpres"" followed immediately after Verdi's three great mid-career masterpieces, ""Rigoletto"", ""Il trovatore"" and ""La traviata"" of 1850 to 1853 and was first performed at the Paris Opéra on 13 June 1855.

Il trovatore
Il trovatore (] ; Italian for ""The Troubadour"") is an opera in four acts by Giuseppe Verdi to an Italian libretto largely written by Salvadore Cammarano, based on the play ""El trovador"" (1836) by Antonio García Gutiérrez.  It was Gutiérrez's most successful play, one which Verdi scholar Julian Budden describes as ""a high flown, sprawling melodrama flamboyantly defiant of the Aristotelian unities, packed with all manner of fantastic and bizarre incident.""

"
George Fuller's father founded a brewery in what year?,1845,"George Fuller (British politician)
Fuller was born at Baynton, Wiltshire, the eldest surviving son of John Bird Fuller, a partner in Fuller Smith & Turner, brewers, and his wife Sophia Hanning, daughter of John Hanning.  He was educated at Winchester, where he played in the 1st XI cricket for two years, and at Christ Church, Oxford.  During his time at Oxford he represented the Oxford University Cricket Club and played in the Varsity match in 1854 and 1855.  He played nine innings in six first class matches with an average of 10.44 and a top score of 40.  He bowled ten overs and took 6 first-class wickets.

Fuller's Brewery
Fuller's Brewery (Fuller, Smith & Turner plc) is an independent family regional brewery founded in 1845 in Chiswick, West London.

"
What is the suburban dormitory town 12 miles from central London that is served by the station named after Theobalds Park?,Waltham Cross,"Theobalds Grove railway station
Theobalds Grove railway station serves Waltham Cross in Hertfordshire, England.  It is part of the Lea Valley Lines network, and train services are provided by London Overground.  The station is named after the nearby Theobalds Park.

Waltham Cross
Waltham Cross is a suburban dormitory town 12 miles NNE of central London and located within the metropolitan area of London, the Greater London Urban Area, and the Borough of Broxbourne in Hertfordshire.  It is immediately north of the London Borough of Enfield and is the most southeasterly town of Hertfordshire, located immediately north of the M25 motorway.  The Waltham Cross post town additionally includes the neighbouring town of Cheshunt and a small part of Enfield.

"
What country are novelists Jane Smiley and Melinda Haynes from?,American,"Jane Smiley
Jane Smiley (born September 26, 1949) is an American novelist.  She won the Pulitzer Prize for Fiction in 1992 for her novel ""A Thousand Acres"" (1991).

Melinda Haynes
Melinda Haynes (born 1955) is an American novelist.  She grew up in Hattiesburg, Mississippi.  For much of her adult life she was a painter.  In 1999, she wrote her first published novel, ""Mother of Pearl"", while living in a mobile home in Grand Bay, Alabama.  Melinda Haynes currently resides in Mobile, Alabama with her husband, Ray.  Her writing is intimately connected with the Mississippi of the 1950s and the 1960s.

"
"What are the accounting companies that make up the ""Big Four"" excluding Ernst & Young?","PricewaterhouseCoopers, Deloitte Touche Tohmatsu","Arthur Andersen
Arthur Andersen LLP, based in Chicago, is an American holding company and formerly one of the ""Big Five"" accounting firms among PricewaterhouseCoopers, Deloitte Touche Tohmatsu, Ernst & Young and KPMG, providing auditing, tax, and consulting services to large corporations.  In 2002, the firm voluntarily surrendered its licenses to practice as Certified Public Accountants in the United States after being found guilty of criminal charges relating to the firm's handling of the auditing of Enron, an energy corporation based in Texas, which had filed for bankruptcy in 2001.

Ernst &amp; Young
EY (formerly Ernst & Young) is a multinational professional services firm headquartered in London, England.  EY is one of the largest professional services firms in the world and is one of the ""Big Four"" accounting firms.

"
Have both Fiorella Bonicelli and Bob Hewitt won Grand Slam tournaments?,no,"Fiorella Bonicelli
Fiorella Bonicelli (born 21 December 1951) is a retired professional tennis player from Uruguay.  During her career, she won the 1975 French Open mixed doubles title with Thomaz Koch.  She also won the 1976 French Open women's doubles title with Gail Lovera, defeating Kathleen Harter and Helga Niessen Masthoff 6–4, 1–6, 6–3.  At the Fed Cup, her singles record is 11–4, and doubles record 6–8.  During her career, she reached one Grand Slam singles quarterfinal, at the 1978 French Open, where she lost to Virginia Ruzici 6–7, 6–4, 6–8.

Bob Hewitt
Robert Anthony John Hewitt (born 12 January 1940) is a former professional tennis player from Australia.  In 1967, after marrying a South African, he became a South African citizen.  He has won 15 major titles and a career Grand Slam in both men's and mixed doubles.

"
"Which film premiered first, One Hundred and One Dalmatians or The Santa Clause?",One Hundred and One Dalmatians,"One Hundred and One Dalmatians
One Hundred and One Dalmatians, often abbreviated as 101 Dalmatians, is a 1961 American animated adventure film produced by Walt Disney and based on the 1956 novel ""The Hundred and One Dalmatians"" by Dodie Smith.  The 17th Disney animated feature film, the film tells the story of a litter of dalmatian puppies who are kidnapped by the villainous Cruella de Vil (Betty Lou Gerson), who wants to use their fur to make into coats.  Their parents, Pongo and Perdita, (Rod Taylor and Cate Bauer respectively) set out to save their children from Cruella, all the while rescuing 84 additional puppies that were bought in pet shops, bringing the total of dalmatians to 101.

The Santa Clause
The Santa Clause is a 1994 American Christmas fantasy family comedy film directed by John Pasquin.  It is the first installment in ""The Santa Clause trilogy"" and it stars Tim Allen as Scott Calvin, an ordinary man who accidentally causes Santa Claus to fall from his roof on Christmas Eve.  When he and his young son, Charlie, finish St. Nick's trip and deliveries, they go to the North Pole where Scott learns that he must become the new Santa and convince those he loves that he is indeed Father Christmas.

"
The pop bands Dodgy from the UK and Kane from Holland are both known for their pop rock fusion with the former being described as power pop rock and the latter being described by which two word description?,popular rock,"Kane (Dutch band)
Kane was a Dutch pop band.  In its final stage, the group consisted of the two original members, Dinand Woesthoff (lead vocals) and Dennis van Leeuwen (guitar).  Their music can be described as ""popular rock"".  The band was inspired by U2, Pearl Jam, Queen and Nirvana.

Dodgy
Dodgy are an English power pop rock trio, that rose to prominence during the Britpop era of the 1990s.  They are best known for their hits ""Staying Out for the Summer"", ""If You're Thinking of Me"", and ""Good Enough"".  The last was their biggest hit reaching No. 4 in the UK Singles Chart.

"
George Henry Law's father was the Ordinary of which docese?,Church of England Diocese of Carlisle in the Province of York.,"George Henry Law
George Henry Law {'1': "", '2': "", '3': "", '4': ""} (12 September 1761 – 22 September 1845) was the Bishop of Chester (1812) and then, from 1824, Bishop of Bath and Wells.  He was the son of Edmund Law, Bishop of Carlisle.

Bishop of Carlisle
The Bishop of Carlisle is the Ordinary of the Church of England Diocese of Carlisle in the Province of York.

"
What show broadcast on ITV2 did Ryan Sampson play in?,Plebs,"Ryan Sampson
Ryan Oliver Sampson is an English actor best known for playing Grumio in the British sitcom ""Plebs"" and in Comedy sketch show, Glitchy also Alex Venables in ""After You've Gone"", where he played the son of Jimmy Venables, played by Nicholas Lyndhurst.  He also appeared in two episodes of Doctor Who in 2008, The Sontaran Stratagem and The Poison Sky playing Luke Rattigan.

Plebs (TV series)
Plebs is a British television series broadcast on ITV2.  It was first broadcast in March 2013, and is produced by Tom Basden, Caroline Leddy, Sam Leifer and Teddy Leifer.  It stars Joel Fry, Tom Rosenthal and Ryan Sampson, who play young residents of ancient Rome.  The format has been compared to ""The Inbetweeners"", ""Up Pompeii"" and ""Blackadder"".  The first two episodes were shown on 25 March 2013.  A second series of eight episodes was broadcast between 22 September and 3 November 2014.  A third series of eight episodes was broadcast between 4 April and 16 May 2016.

"
In what 2016 film did Chad Willett star in with Danny Glover?,Monster Trucks,"Chad Willett
Chad Willett (born October 10, 1971, British Columbia) is a Canadian actor and producer who has worked for over 20 years as a professional in film, television and theatre.  His films include ""Hector and the Search for Happiness"", starring Simon Pegg, and ""Monster Trucks"" directed by Chris Wedge.

Monster Trucks (film)
Monster Trucks is a 2016 American comedy film produced by Paramount Animation, Nickelodeon Movies and Disruption Entertainment for Paramount Pictures.  It was directed by Chris Wedge and written by Derek Connolly, from a story by Jonathan Aibel, Glenn Berger and Matthew Robinson.  The film stars Lucas Till, Jane Levy, Amy Ryan, Rob Lowe, Danny Glover, Barry Pepper and Holt McCallany, and follows a high schooler who finds an escaped monster living in his truck.

"
What Albania town is located on the banks of the Vjosa River in Gjirokastër County and after a 2015 local government reform the village of Progonat became part of its municipality?,Tepelenë,"Progonat
Progonat is a village in the former Kurvelesh municipality, Gjirokastër County.  It is the largest village of upper Kurvelesh and until 1992 was the administrative center of the commune.  At the 2015 local government reform it became part of the municipality Tepelenë.

Tepelenë
Tepelenë (definite Albanian form: ""Tepelena"" ) is a town and a municipality in Gjirokastër County, in the south of Albania.  The town is located on the left bank of the Vjosa River, about three kilometres downstream from its union with the Drino.

"
"Which band is from California, Framing Hanley or No Doubt?",No Doubt,"Framing Hanley
Framing Hanley was an American rock band formed in Nashville, Tennessee in 2005.  They released their first studio album in August 2007, titled ""The Moment"".

No Doubt
No Doubt is an American rock band from Anaheim, California, that formed in 1986.  Since 1994, the group has consisted of vocalist Gwen Stefani, bassist and keyboardist Tony Kanal, guitarist and keyboardist Tom Dumont, and drummer Adrian Young.  Since the mid-1990s in live performances and the studio, they have been supported by keyboardist and trombonist Gabrial McNair and keyboardist and trumpeter Stephen Bradley.

"
The Broadway expedition occurred in a war during what dynasty of China?,Qing dynasty,"Broadway expedition
The Broadway expedition was a British military expedition that explored the Broadway River (present-day Xi River) in Guangdong province, China, on 13–15 March 1841 during the First Opium War.  The river was also called the ""Inner Passage"" or ""Macao Passage"" as it served as an intricate channel from the Portuguese colony of Macao to the Chinese city of Canton (Guangzhou).  The expedition was the first time a European vessel traversed the passage, and was believed by the Chinese to be inaccessible to foreigners due to the shallowness and intricacy of the channel as well as the forts along the banks.  The iron steamship ""Nemesis"" had a shallow draught of 6 ft , which was a major advantage in navigating the river.  Despite being over 600 tons burden, the ship was able to navigate through a river that frequently had less than 6 feet of water and through mud in areas of only 5 ft .

First Opium War
The First Opium War (第一次鴉片戰爭), also known as the Opium War or the Anglo-Chinese War, was a series of military engagements fought between the United Kingdom and the Qing dynasty over conflicting viewpoints on diplomatic relations, trade, and the administration of justice in China.

"
"What German social reformer's brother was a German pioneer of aviation who became known as the ""flying man""?",Gustav Lilienthal,"Gustav Lilienthal
Gustav Lilienthal (October 9, 1849 – February 1, 1933) was a German social reformer, a pioneer in building and construction technology (Prefabricated buildings), inventor of different Construction sets (e. g. Anchor Stone Blocks) and involved in the pioneering work of his brother, Otto Lilienthal in aviation.

Otto Lilienthal
Otto Lilienthal (23 May 1848 – 10 August 1896) was a German pioneer of aviation who became known as the ""flying man"".  He was the first person to make well-documented, repeated, successful flights with unpowered airplanes.  Newspapers and magazines published photographs of Lilienthal gliding, favorably influencing public and scientific opinion about the possibility of flying machines becoming practical.  On 9 August 1896, his glider stalled and he was unable to regain control.  Falling from about 15 m (50 ft), he broke his neck and died the next day, 10 August 1896.

"
When was the date of birth of the magician who has an association with Metamorphosis?,"March 24, 1874","Metamorphosis (illusion)
Metamorphosis is the name of a stage illusion invented by John Nevil Maskelyne, but most often associated with famous escape artist Harry Houdini and performed to some renown (for speed) by The Pendragons, among others.  It is also known amongst magicians as the Substitution Trunk (often abbreviated to Sub Trunk).

Harry Houdini
Harry Houdini (born Erik Weisz, later Ehrich Weiss or Harry Weiss; March 24, 1874 – October 31, 1926) was an Austro-Hungarian-born American stage magician and stunt performer, noted for his sensational escape acts.  He first attracted notice in vaudeville in the US and then as ""Harry Handcuff Houdini"" on a tour of Europe, where he challenged police forces to keep him locked up.  Soon he extended his repertoire to include chains, ropes slung from skyscrapers, straitjackets under water, and having to escape from and hold his breath inside a sealed milk can with water in it.

"
Santorini and Thurn and Taxis are both what?,board game,"Santorini (game)
Santorini is an abstract strategy board game for 2-4 players designed and released in 2004 by Gordon Hamilton and republished via Kickstarter in 2016 by Roxley Games.  Inspired by the architecture of cliffside villages on Santorini Island in Greece, and primarily designed for two players, the game is played on a grid where each turn players build a town by placing building pieces up to three levels high.  To win the game, players must move one of their two characters to the third level of the town.

Thurn and Taxis (board game)
Thurn and Taxis is a board game designed by Karen and Andreas Seyfarth and published in 2006 by Hans im Glück in German (as ""Thurn und Taxis"") and by Rio Grande Games in English.  In the game, players seek to build postal networks and post offices in Bavaria and surrounding areas, as did the house of Thurn und Taxis in the 16th century.  The game won the prestigious 2006 Spiel des Jahres award.

"
 When was the American politician born who has been the U.S. Representative for Alabama and defeated in the Republican primary in 2010?,"April 29, 1954","Parker Griffith
Rolf Parker Griffith, Jr. (born August 6, 1942) is an American retired radiation oncology physician, mathematics teacher, Army Reserve officer, entrepreneur and politician who served in the Alabama State Senate from 2006 to 2008 and then as the U.S. Representative for  's 5 congressional district from 2009 to 2011.  A lifelong member of the Democratic Party, while serving in Congress, at the urging of Republicans he switched parties on December 22, 2009.  He ran for re-election in 2010 but was defeated in the Republican primary by Mo Brooks.  He returned to the Democratic Party in 2014 and unsuccessfully ran for Governor of Alabama in the 2014 election.

Mo Brooks
Morris Jackson Brooks Jr. (born April 29, 1954) is an American politician who has been the U.S. Representative for Alabama 's 5 congressional district since 2011.  He is a member of the Republican Party.  In 2017, he unsuccessfully ran for the U.S. Senate seat that Jeff Sessions resigned from to become U.S. Attorney General.

"
A Scream in the Dark is a 1943 mystery film starring an American singer kwown as what?,The Body Beautiful,"A Scream in the Dark
A Scream in the Dark is a 1943 American mystery film directed by George Sherman and written by Anthony Coldeway and Gerald Schnitzer.  The film stars Robert Lowery, Marie McDonald, Edward Brophy, Elizabeth Russell, Hobart Cavanaugh and Wally Vernon.  The film was released on October 15, 1943, by Republic Pictures.

Marie McDonald
Marie McDonald (July 6, 1923 – October 21, 1965) was an American singer and actress known as ""The Body Beautiful"" and later nicknamed ""The Body"".

"
"Grand Admiral a naval rank in one of the highest in the several European navies that use this system, what system are they using? ",Military ranks,"Grand admiral
Grand admiral is a historic naval rank, the highest rank in the several European navies that used it.  It is best known for its use in Germany as ""Großadmiral"".  A comparable rank in other navies is that of fleet admiral.

Military rank
Military ranks are a system of hierarchical relationships in armed forces, police, intelligence agencies or other institutions organized along military lines.  Usually, uniforms denote the bearer's rank by particular insignia affixed to the uniforms.  Ranking systems have been known for most of military history to be advantageous for military operations, in particular with regards to logistics, command, and coordination; as time went on and military operations became larger and more complex, military ranks increased and ranking systems themselves became more complex.

"
"What parade, which is the second-largest in the world, was started by John Martin & Co.?",Adelaide Christmas Pageant,"John Martin &amp; Co.
John Martin & Co. Ltd, colloquially known as John Martin's or simply Johnnies, was an Adelaide-based company which ran a popular chain of department stores in South Australia.  It operated for more than 130 years, from 1866 until its closure in 1998.  Johnnies, owned by the prominent Hayward family for the majority of its existence, became an Adelaide icon, responsible for the famous Adelaide Christmas Pageant.

Adelaide Christmas Pageant
The Adelaide Christmas Pageant is a parade held annually in the South Australian capital of Adelaide.  Recognised as a heritage icon, the pageant is a state institution and is sponsored by four local credit unions.  Since 1996 it has been known as the Credit Union Christmas Pageant.  It is the second-largest parade of its kind in the world, following only Macy's Thanksgiving Day Parade, and the largest in the Southern Hemisphere and in the Commonwealth of Nations.

"
"King Arthur is a legendary British leader who, according to medieval histories and romances, led the defence of Britain against Saxon invaders in the late 5th and early 6th centuries AD, the sparse historical background of Arthur is gleaned from various sources, including the writings of Gildas, a 6th-century British monk, best known for his scathing religious polemic titled what?",De Excidio et Conquestu Britanniae,"King Arthur
King Arthur is a legendary British leader who, according to medieval histories and romances, led the defence of Britain against Saxon invaders in the late 5th and early 6th centuries AD.  The details of Arthur's story are mainly composed of folklore and literary invention, and his historical existence is debated and disputed by modern historians.  The sparse historical background of Arthur is gleaned from various sources, including the ""Annales Cambriae"", the ""Historia Brittonum"", and the writings of Gildas.  Arthur's name also occurs in early poetic sources such as ""Y Gododdin"".

Gildas
Gildas (Breton: ""Gweltaz"", c. 500–570) — also known as Gildas the Wise or Gildas Sapiens — was a 6th-century British monk best known for his scathing religious polemic ""De Excidio et Conquestu Britanniae"", which recounts the history of the Britons before and during the coming of the Saxons.  He is one of the best-documented figures of the Christian church in the British Isles during the sub-Roman period, and was renowned for his Biblical knowledge and literary style.  In his later life, he emigrated to Brittany where he founded a monastery known as St. Gildas de Rhuys.

"
